Tab.2.1.7;;;;;;;;;;;;
;;;;;;;;;;;;
Ausgaben von Bildungseinrichtungen je Schüler/-in und Studierende/-n nach Staaten und Bildungsbereichen (ISCED 1997) in US-Dollar in umgerechneter Kaufkraftparität 1);;;;;;;;;;;;
;;;;;;;;;;;;
;;ISCED 0: Elementarbereich (für 3-Jährige und Ältere);ISCED 1: Primarbereich;ISCED 2: Sekundarbereich I;ISCED 3: Sekundarbereich II;ISCED 2/3: Sekundarbereich insgesamt;ISCED 4: Post-sekundarer, nicht-tertiärer Bereich;ISCED 5B: Tertiärbereich B;ISCED 5A/6: Tertiärbereich A und weiterführende Forschungsprogramme;ISCED 5/6: Tertiärbereich insgesamt;ISCED 5: Tertiärbereich ohne Forschungs- und Entwicklungsaktivitäten;Alle Bildungsbereiche (ohne Elementarbereich)
Staat;Jahr;US-Dollar;US-Dollar;US-Dollar;US-Dollar;US-Dollar;US-Dollar;US-Dollar;US-Dollar;US-Dollar;US-Dollar;US-Dollar
Kanada 2)4)6);2001;m;m;m;m;m;m;m;m;m;m;m
Kanada 2)4)6);2002;m;m;m;m;m;m;m;m;m;m;m
Kanada 2)4)6);2003;y;y;y;y;6482;y;23780;18567;19992;16937;8641
Kanada 2)4)6);2004;m;m;m;m;m;m;m;m;m;m;m
Kanada 2)4)6);2005;y;y;y;y;7837;y;m;20156;m;m;m
Kanada 2)4)6);2006;y;y;y;y;7774;y;m;22810;m;m;m
Kanada 2)4)6);2007;y;y;y;y;8045;y;15091;24424;20278;14731;m
Kanada 2)4)6);2008;y;7648;y;9754;8388;m;15557;24384;20903;15119;m
Kanada 2)4)6);2009;y;8262;y;10340;8997;m;13605;25341;20932;15126;m
Kanada 2)4)6);2010;y;8933;y;11317;m;m;14461;27123;22475;16300;m
Kanada 2)4)6);2011;y;9232;y;11607;m;m;15729;27373;23226;17006;m
Korea;1997;1676;3308;3374;3652;3518;a;4346;8512;6844;m;m
Korea;1998;1287;2838;3374;3692;3544;a;4185;7820;6356;m;m
Korea;1999;1752;2838;3208;3597;3419;a;3494;6612;5356;m;m
Korea;2000;1949;3155;3655;4440;4069;a;4106;7502;6118;m;4294
Korea;2001;1913;3714;4612;5681;5159;a;4295;8236;6618;m;5035
Korea;2002;2497;3553;5036;6747;5882;a;3772;7630;6047;m;5053
Korea;2003;2628;4098;5425;7442;6410;a;4021;9138;7089;6213;5733
Korea;2004;2520;4490;6057;7485;6761;a;4263;8600;7068;6154;5994
Korea;2005;2426;4691;5661;7765;6645;a;3811;9938;7606;6607;6212
Korea;2006;3393;4935;5719;9060;7261;a;4653;10844;8564;7517;6811
Korea;2007;3909;5437;6287;9620;7860;a;5279;10115;8920;7796;7325
